255,BERGEPAINT,582,582.35,567.2,573.65,573.6,579.95,1114465,639361440.5,35568
256,BESTAGRO,934,984,921.95,967.7,980,927.95,50066,47874260.3,1672
257,BETA,661,670.4,661,670.4,670.4,661,1200,801560,6
258,BEWLTD,751.15,751.15,751.15,751.15,751.15,776.25,250,187787.5,1
259,BFINVEST,260,261.9,258.5,260.55,260.8,258.7,1486,386664.4,102
260,BFUTILITIE,314.65,318,311.15,314.85,314.65,313.05,45264,14233652.25,1945
261,BGRENERGY,76,76.25,71.05,72.9,72.3,75.9,302764,22244590.75,3685
262,BHAGCHEM,933.9,940.7,925.65,936.2,933,925.45,2783,2605073.6,120
263,BHAGERIA,181.1,186.4,179.05,183.45,182.65,181.1,20608,3770972.1,959
264,BHAGYANGR,39.95,41.2,39.5,40.2,41,39.6,10490,424247,201
265,BHAGYAPROP,39.4,41.7,39.05,40.85,41,38.7,78984,3228521,212
266,BHANDARI,5.95,6.05,5.7,5.8,5.85,5.95,174616,1022755.7,469
267,BHARATFORG,655.2,658.6,640.85,642.5,642.1,659.3,1232480,796135053.5,65665
268,BHARATGEAR,146.35,146.35,141.25,143.95,143.7,146.35,14195,2042001.85,378
269,BHARATRAS,12770,13185,12355,12793.35,12695,12562.7,6091,77779904.25,2890
270,BHARATWIRE,65.35,66.2,64,65.65,66,65.7,13514,879916.25,327
271,BHARTIARTL,648.95,657.5,643.25,651.8,651.55,641.65,5567877,3635354514,100184
272,BHEL,49.35,49.7,48.8,49.55,49.5,49.25,14733964,724523445.2,29998
273,BIGBLOC,109.9,112,105.6,108.85,108.9,109.05,10732,1170782.75,186
274,BIL,176.6,188,175.9,184.75,186.9,171.65,23968,4392445.7,1046
275,BINDALAGRO,27.2,27.45,26.35,26.45,26.35,28.3,349096,9387956.7,1754
276,BIOCON,333,334.45,330.05,332.4,332.5,331.9,740797,246193606.1,12020
277,BIOFILCHEM,56.45,56.45,53.1,54.05,53.55,55.2,25210,1376441.2,515
278,BIRET,330,330,320.5,323.75,324,328.14,63052,20384477.67,2198
279,BIRLACABLE,117.4,124.7,116.6,119.1,119.5,117.4,51680,6167157.35,2207
